Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Buchinger,Dte Vantage,116.13,232.26,231.4, $168.39 , $-   , $393.39 
Buchinger,E. Richards Consulting,337.1,674.2,627.7, $488.80 , $-   , $963.80 
Buchinger,E.E. Root,104.07,208.13,192, $150.89 , $-   , $375.89 
Buchinger,Elecnor Hawkeye,308.98,617.95,592.1, $448.01 , $-   , $923.01 
Buchinger,Encompass Pipeline,39.74,79.47,95.1, $57.62 , $-   , $57.62 
Buchinger,Enersite Utility And Site Work Services,453.57,907.14,811, $657.68 , $-   ," $1,382.68 "
Buchinger,Environmental Construction Inc,274.92,549.84,510.2, $398.63 , $-   , $873.63 
Buchinger,Eversource,398.64,797.29,714, $578.04 , $-   ," $1,053.04 "
Buchinger,Feeney Brothers,435.72,871.45,784.1, $631.80 , $-   ," $1,356.80 "
Buchinger,Ferreira Construction,436.7,873.4,780.7, $633.21 , $-   ," $1,358.22 "
Buchinger,Frank Lill & Son,39.61,79.22,103.7, $57.43 , $-   , $57.43 
Buchinger,Geary Mechanical,332.13,664.25,620.5, $481.58 , $-   , $956.58 
Buchinger,Gianfia Corp,290.19,580.37,549.8, $420.77 , $-   , $895.77 
Buchinger,GPL,412.42,824.84,732.9, $598.01 , $-   ," $1,323.01 "
Buchinger,Grid One Solutions,304.07,608.15,561.7, $440.91 , $-   , $915.91 
Buchinger,Grotto Plumbing Inc. (Nga),290.21,580.42,551, $420.80 , $-   , $895.80 
Buchinger,Heath Consultants (Nga),302.77,605.53,592.1, $439.01 , $-   , $914.01 
Buchinger,Henkels & Mccoy (Nga),252.06,504.13,480.3, $365.49 , $-   , $840.49 
Buchinger,Holyoke Gas & Electric,348.37,696.73,618.9, $505.13 , $-   , $980.13 
Buchinger,Infrasource (Nga),289.51,579.02,531.6, $419.79 , $-   , $894.79 
Buchinger,Ironwood Heavy Highway,50.18,100.36,100.3, $72.76 , $-   , $72.76 
Buchinger,J Mullen & Sons,259.95,519.89,525.6, $376.92 , $-   , $851.92 
Buchinger,J. F. Brennan Companies,445.52,891.03,796.7, $646.00 , $-   ," $1,371.00 "
Buchinger,Joe Knows Energy,291.86,583.73,539, $423.20 , $-   , $898.20 
Buchinger,John Anderson Construction,118.7,237.4,252.4, $172.12 , $-   , $397.12 
Buchinger,Js Rae,305.28,610.55,572.3, $442.65 , $-   , $917.65 
Buchinger,Kiely Family Of Companies,330.86,661.72,616.3, $479.75 , $-   , $954.75 
